Categoria;Nombre de establecimiento;Teléfono;Correo electrónico;Direccion
HOTEL;AZOR HOTELES  CALI;6023876200;dadministrativo.cali@azorhoteles.com;CL 20N No. 5AN 16
HOTEL;SONESTA HOTEL CALI;4866000;sonesta.cali@ghlhoteles.com;CL 18N No. 4N  08
HOTEL;HOTEL TOSCANA PLAZA;3876890;facturacion@hoteltoscanaplaza.com.co;CL 10 No. 65 31
HOTEL;HOTEL PERUGINO'S PLAZA;6677889;administracion@hotelperuginos.com;CL 30N No. 2BN 100
APARTAHOTEL;APARTA HOTEL NOCHES DE LUNA;5586872;miltoncastrojeda@hotmail.com;CL 13 No. 23C  05
HOTEL;HOTEL RESIDENCIAL DE OSCAR;6610571;hoteldoscar@yahoo.com;CL 26N No. 2 BIS  68
HOTEL;HOTEL RIVERA PLAZA;5571200;reservas@hotelriveraplaza.com;CR 37A No. 6  70
HOTEL;HOTEL MANSION DEL NORTE;6601300;angiema68@hotmail.com;AV 2B No. 31N  82
APARTAHOTEL;APARTAHOTEL LORD STAR J&C;5136666;hotelencali@gmail.com;CL 9 No. 56 240
HOTEL;HOTEL CUARTA AVENIDA;6618045;hotelcuartaavenidacali@gmail.com;AV 4 No. 9N  77
APARTAHOTEL;APARTA HOTEL CALI;3755265;hbabilonia25@hotmail.com;AV 2B No. 31N  52
HOTEL;HOTEL VEGAS GRANADA;3162909038;ccontador@hoteleslasvegascolombia.com;AV 8 No. 17AN  12
HOTEL;SUITES HOUSE JUANAMBU;3128470707;reservassuiteshouse@outlook.com;CL 6N No. 4  48/70
HOTEL;HOTEL MS CHIPICHAPE;4874050;jefedecontabilidad@hotelesms.com;AV 4A No. 37AN  84
HOTEL;HOTEL KARLO;5242060;auditoria@hotelkarlo.com;CR 35 No. 3A  35
HOTEL;HOTEL BRISAS DE CALIMA;4495551;brisasdecalimahotel@gmail.com;CL 70 No. 4AN  71
HOTEL;HOTEL EL BUEN DESCANSO;4421205;contador496@gmail.com;CR 2 No. 34 56
HOTEL;NOW HOTEL;6612758;dircontable@nowhotel.com.co;AV 9AN No. 10N 74
APARTAHOTEL;HOTEL PLAZA NORTE BOUTIQUE S.A.S;6650024;hotelplazanortecali@hotmail.com;CL 44N No. 2B  66
HOTEL;HOTEL PASOANCHO;3182393721;hotelpasoancho@hotmail.com;CL 13 No. 66A 10
HOTEL;HOTEL JARDIN DE TEQUENDAMA;3147873725;inversionestequendama@hotmail.com;CR 40 No. 5C 21
APARTAHOTEL;APARTAHOTEL COLOMBIA;6672143;andreshenao69@hotmail.com;CL 31N No. 2B 48
APARTAHOTEL;APARTA HOTEL CALI MIO;6672143;andreshenao69@hotmail.com;AV 2BIS No. 31N  42
HOTEL;SAN ANTONIO HOTEL BOUTIQUE;5246364;info@hotelboutiquesanantonio.com;CR 6 No. 2  51
HOTEL;HOTEL TRANQUILANDIA;4442224;rubencortes56@hotmail.com;CR 2 No. 35 05
HOTEL;HOTEL NUEVA GRANADA;3816770;humbertogirons@yahoo.com;CL 15N No. 4N  44
APARTAHOTEL;APARTAHOTEL LE MUA;3734420;miltoncastroojeda@hotmail.com;CL 10 No. 64A 23
APARTAHOTEL;APARTA HOTEL BUGATIER;3349825;jfbm239@hotmail.com;CR 25A No. 14C 09
HOSTAL;JARDIN AZUL;5568380;reservas@jardinazul.com;CR 24A No. 2A 59
APARTAHOTEL;HABITA S.A.S.;4892621;facturacion@habita.com.co;AV 9N No. 66 31
HOTEL;HOTEL BAR EL BUHO;6620884;julidesiver@hotmail.com;CR 8 No. 78 88
APARTAHOTEL;APARTA HOTEL JARDIN REAL;3862676;alfredarbol@yahoo.es;CL 27 No. 34  20
HOTEL;HOTEL SPIWAK CHIPICHAPE CALI;3959999;contadorgrupo@spiwak.com;AV 6D No. 36N  18 P 11
HOTEL;HOTEL SANTA CECILIA SAS;5544007;gerencia@hscc.com.co;AV 6N No. 24N 58
HOTEL;HOTEL CLUB CAMPESTRE DE CALI;3336000;contadora@campestrecali.com;CL 5 No. 100  00
APARTAHOTEL;APARTAHOTEL FANTASIAS;3125743400;jorgegalvis@hotmail.com;DG 30 No. 30A 08
HOTEL;HOTEL DANN CARLTON CALI;8933000;ed-continental@emcali.net.co;CR 2 No. 1  60
CENTRO VACACIONAL;CENTRO VACACIONAL TURISTICO RECREATIVO DEPORTIVO Y CAMPING EL SAMAN S.A.S.;5550129;contabilidadlosgemelos@outlook.com;ECOPARQUE DEL RIO PANCE CORR DE PANCE KM 12 VIA LA VORAGINE ENTRADA 1
HOSTAL;HOSTAL DANATO;4383845;hostaldanato@gmail.com;CR 6 No. 28 04
HOTEL;HGO HOTEL;3008273813;hotelesperanzacali@gmail.com;CL 5A No. 40 36
HOTEL;AQUA GRANADA HOTEL;6026672388;aquagranada@hotmail.com;AV 8N No. 10 91
HOTEL;HOTEL COSMOS CALI;6618181;financiero@cosmoscali.com;AV 3 No. 17N  25
HOTEL;CASA HOTEL TOSCANINI;3708483;toscaninicasahostal@gmail.com;CR 62C No. 9  40
APARTAHOTEL;APARTAHOTEL  LAS NIEVES CALI;6606523;hotellasnievescali@hotmail.com;CL 31N No. 2B  124
CENTRO VACACIONAL;PARQUE ACUATICO LOS ARRAYANES;4454845;contacto@arrayanes.com.co;LA VORAGINE
HOTEL;CQB RECOVERY HOTEL;4866666;cqbhotel@cqbelleza.com;CL 5C No. 40  30
CENTRO VACACIONAL;CLUB SOCIAL TURISTICO Y RECREACIONAL EL ARCA DE NOE;5240424;auxiliarcontable1725@gmail.com;VIA A CRISTO REY KM 3
HOTEL;HOTEL MOVICH CASA DEL ALFEREZ;3933030;notificaciones@movichhotels.com;AV 9 No. 9N  24
HOTEL;PRO HOTELES CALI SAS;8899571;contabilidadprohoteles@gmail.com;CL 9 No. 3  93
APARTAHOTEL;APARTA HOTEL TURISTICO JARDINES  DEL CANEY;3961226;apartamentosjardinesdelcaney@gmail.com;CR 82B No. 48A  05
HOSTAL;EL VIAJERO HOTELS CALI;8938342;notificaciones@viajerohostels.com;CR 5 No. 4 56
HOTEL;HOTEL KONFORT I N N;8881011;mercadeo@hotelkonfortinn.com.co;CL 9 No. 3  13 
HOTEL;HOTEL COLOURS CALI;6023849904;info@colourshotelcali.com;CL 23 No. 2 22
HOTEL;ACQUASANTA LOFTS HOTEL;4855331;contabilidad@karenspizza.com;CR 106A No. 18  51
HOTEL;POSADA NUEVO CHALET;3043899797;gladys.mora.yepes@hotmail.es;AV 4N No. 15N 43
APARTAHOTEL;APARTAHOTEL PARAISO DEL AMOR;3122198658;tiberiogalvis1@hotmail.com;CL 9 No. 15 41
HOTEL;HOTEL EL PRADO;3015012989;fabysalacer@hotmail.com;CL 42 No. 1N  20
HOTEL;HOTEL H21 CALI;8962731;samipao1085@gmail.com;CL 21 No. 11D 28
HOTEL;HOTEL ACUALINA DE CALI;8894848;hotelacualina@yahoo.es;CL 15 No. 5 40
HOTEL;PRADOS DE JEBRAMY;3746144;omarg2010@gmail.com;AV 2A No. 31N 62
HOTEL;HOTEL MARRIOTT CALI;3218909466;derly.quesada@r-hr.com;AV 8 No. 10 N  18
HOTEL;CITY EXPRESS PLUS CALI;4852900;ceclo.contador@cityexpress.co;CL 35N No. 6N 06
APARTAHOTEL;APARTA HOTEL EL PARAISO S.A.S;6023451572;salomeagredo13@gmail.com;TR 29 No. 28 121
CENTRO VACACIONAL;CENTRO VACACIONAL EL ARCA DE NOE PANCE;8841172;auxiliarcontable1725@gmail.com;VIA PANCE LA VORAGINE KM 2
HOTEL;HOTEL LA PRIMERA CALI;3176980201;hotelaprimera@hotmail.com;CR 1 No. 42 11
HOTEL;HOTEL ROOSEVELT PLAZA;3851090;hrpcontacto@gmail.com;CR 40 No. 6 79
HOTEL;HOTEL FARALLONES CALI;3244749859;hotelyparqueaderolosalamos@gmail.com;CL 11 No. 8  63 
HOSTAL;HOSTAL ENCUENTRO;8902464;anab-8@hotmail.com;CL 2 OESTE No. 4  16
HOTEL;HOTEL HAMPTON BY HILTON CALI;4896000;amedina@metro-op.com;AV COLOMBIA No. 1A OESTE 35
HOTEL;HOTEL DON CAMILO;6601016;hoteldoncamilonora@hotmail.com;AV 2B No. 31N  76
APARTAHOTEL;CASA 5;3882324;pellarsas@hotmail.com;CL 10 No. 49B  05
HOTEL;BELANOVA 1;5240509;financiero@belanovacare.com;CL 17 No. 101 A  36
HOTEL;HOTEL MS CIUDAD JARDIN;3156060;jefedecontabilidad@hotelesms.com;CR 101 No. 15A 35
HOSTAL;AMOBLADOS LA 2 NO. 2;6028852526;gladisguerreroguzman@hotmail.com;CL 20 No. 7  131
APARTAHOTEL;APARTA HOTEL SAN MARCOS;3708705;sanmarcosapartamentos@hotmail.es;CR 18 No. 8 09
APARTAHOTEL;CUPIDO LA ORQUIDEA;4234074;hotelcupidolaorquidea@gmail.com;CR 27 No. 110  18
APARTAHOTEL;MARE APARTASUITE;6023472793;administrativa@mareapartasuite.com;AV 5N No. 39 16
HOTEL;HOTEL ROCHY;6606019;hotelrochy@hotmail.com;CL 31 No. 2BN  72
APARTAHOTEL;VILLA CASUARINAS;3145942920;reservas@viacasuarinas.com;CL 15B No. 106 115
HOTEL;HOTEL CENTRAL CALI;8894335;hotelcentralcali3@gmail.com;CR 6 No. 13 47
HOTEL;TRAVELERS SPORT HOTEL;5562361;econgote17@hotmail.com;CL 9 No. 36A BIS  60
HOTEL;HOTEL BISOU;6024414201;gustavoarzayus@gmail.com;CL 39 No. 8A 50
HOTEL;HOTEL EL ALBA S.A.S.;34510047;info@hotelelalbacali.com;CL 9 No. 51  04 
APARTAHOTEL;APARTA HOTEL LAS VEGAS CENTRO;8816239;aphotellasvegascentrocali@gmail.com;CL 9 No. 3  23 PI 2
HOTEL;HOTEL LUZ;8816062;tosseoswaldo@gmail.com;CR 5 No. 18 64
HOSTAL;LA POSADA DE EMAÜS;3597524;laposadademaus@gmail.com;CL 36 No. 2  33
HOTEL;HOTEL PIARO IN APARTASTUDIOS;3798871;contabilidad1@hotelpiaroin.com;CR 36B No. 5  42
HOSTAL;DEPORTEL CALI;5542864;contabilidad@hotelparque63.com;CR 24D No. 10A OESTE  74
HOTEL;HOTEL HV LA LUNA;5582611;contabilidadhtll@gmail.com;AUT SUR No. 13  01
HOTEL;HOTEL CASA VALLECAUCANA;3876870;fredyospinaoabogado@hotmail.com;CR 28 No. 5B  56
HOTEL;BABILLA SUITES;3994539;jorge_88@msn.com;CL 15B No. 107A  57
HOSTAL;HAVANA HOSTAL;3152273733;havanaencali@gmail.com;CR 24C No. 3  35
APARTAHOTEL;APARTAHOTEL LA ESPERANZA;3875100;apartahotelesperanza@gmail.com;CR 102 No. 15  05
HOTEL;BELA NOVA 4;3127657411;financiero@belanovacare.com;CR 101 No. 18  14
HOTEL;LECLERC HOTEL BOUTIQUE;6028965744;leclerchotelboutique@gmail.com;AV 9A No. 10 51
APARTAHOTEL;ROMANSEX;3809693;ahromansex@gmail.com;DG 23 No. 18 E  30
HOSTAL;PARAISO HOSTAL;3876380;gerenciahostal@paraisoworld.com;CL 25 N No. 5B 39
HOSTAL;HOSTAL TEQUENDAMA MARTHA SANTAMARIA;3013273428;hostaltequendama@gmail.com;CL 5 C No. 39  46
HOTEL;HOTEL AVANTI;3754114;jcminotta@gmail.com;CL 38 N No. 4 A  43
HOSTAL;SIXTH HOUSE SUITE;3104484654;mauricioviva_18@hotmail.com;AV 6 No. 13 N  33
HOTEL;HOTEL TURISTICO EL PUNTO CLAVE;3731660;invorobio@cwpanama.net;CR 5N No. 66 26
HOTEL;HOTEL CHAMPAGNAT REAL;5146108;reservas@hotelchampagnat.com;CR 29 No. 9 72
HOTEL;ALKO HOTEL INTEGRADO;3146376946;contabilidad@alkohotel.com;CR 101 No. 15  27
APARTAHOTEL;APARTAHOTEL LOS SUAREZ;3215093455;dialm2201@hotmail.com;CL 32N No. 2B N 63
HOSTAL;SECAN GLOBAL SAS;5538283;secanglobalsas@gmail.com;CR 62C No. 9 20
HOTEL;HOTEL PARQUE DEL PERRO;3827122;amecastasolar2@hotmail.com;CL 3 Oeste No. 27 72
HOSTAL;MAGIC GARDEN HOUSE;3183678236;gerencia@magicgarden.house;CR 10 No. 1 OESTE  83
HOTEL;HOTEL ALAMEDA PLAZA;5577766;doristitiribi@hotmail.com;CL 8 No. 23 C  17
HOTEL;HOTEL MS PACIFICO CHIPICHAPE;4866918;gerenciachipichape@hotelesms.com;AV 5 No. 39 N  17
APARTAHOTEL;VALLE DEL LILI APARTAHOTEL;3066092;hbabilonia25@hotmail.com;CR 94C No. 18  127
HOTEL;TORCA HOTELS;4872052;gerencia@torcahotels.com;CL 5B 1 No. 36 29
APARTAHOTEL;APARTAHOTEL LAS VIOLETAS SAS;6023055439;hotellasvioletas@gmail.com;CR 15 No. 43A 01
HOSTAL;HOSTEL ALAMEDA CALI;3176419861;lospaisitass@hotmail.es;CL 9 No. 24  43 PI 1
HOTEL;PARK V HOTEL Y SUITES;3876610;frabelco.sas@gmail.com;CL 23 BN No. 5N 14
HOSTAL;HOSTAL SAN ANTONIO CALI;8936978;pedrorobayo@gmail.com;CL 2 No. 4 34
HOTEL;HOTEL PARK 85;4862729;imobicsas@gmail.com;CL 14 No. 85 B  35
HOTEL;HOTEL SIGLO 21;3152474;hotelesencali@gmail.com;CL 5 B5 No. 36B  13
HOTEL;BASIC MS CENTENARIO;3165277302;cientounocali@gmail.com;AV 3 No. 7 N  20
HOTEL;HOTEL IBIS CALI GRANADA;4892023;daf.sogecol@accor.com;AV 8N No. 21N 40
HOTEL;HOTEL ROOM 2;3159280436;carolinadelosriosg26@gmail.com;CL 7 No. 36 A BIS  30
HOTEL;HOTEL ES MI CASA;3192908374;fabian.eraso7jt@gmail.com;CL 35 No. 2  26
HOSTAL;HOSTAL LA MERCEDES STREET;3015606617;hostallamercedescali@gmail.com;CR 23 No. 1 OESTE  86
APARTAHOTEL;APARTAHOTEL PUNTO A;3217762952;asesorias_cano@hotmail.com;CL 23 No. 22  14
APARTAHOTEL;APARTAHOTEL DIAMANTE;3164257440;apartahoteldiamantecali@gmail.com;CR 33B No. 36  31 
HOTEL;HOTEL 1A AVENIDA;3087555;gabrielerazo1@hotmail.com;CL 10 No. 24  119
HOSTAL;MOONSHINE;3005287344;camilo.cantillo@gmail.com;CR 10 No. 4 32
APARTAHOTEL;IMI RECOVERY HOME CALI SAS;6024085502;imihurtado@hotmail.com;CL 11B No. 101  30
HOTEL;HILTON GARDEN INN CALI CIUDAD JARDIN;3156060;contadorhgi@hotelesms.com;CL 15A No. 100  21
HOTEL;HOTEL CASA TEQUENDAMA S.A.S.;5534589;hotelcasatequendama@yahoo.com;CL 5A No. 40  41
HOSTAL;LA CASA DE ADRY;3174240895;luis-fernandotorres@hotmail.com;CL 4 No. 4  63
HOSTAL;HOSTAL ARI;3017208577;omairaobando@hotmail.com;CL 12 No. 65C 30
HOTEL;HOTEL FARANDA CALI;3003062098;gerencia@farandacali.com;CR 3 No. 7  15
HOTEL;LOFT CHIPICHAPE INN;3899883;hotelloftchipichapeinn@gmail.com;AV 9 No. 27N  65
HOTEL;HOTEL CASTELLANA REAL;3146030219;bmoperacionesempresariales@gmail.com;CR 32 No. 8  20
HOTEL;HOTEL DEPEAPAN;3163945639;jorgepcontador@hotmail.com;CL 16 No. 85B  20
HOTEL;HOTEL PLAZA DEL LILI;3480454;gerencia@hotelplazadellili.com;CL 48 No. 86 133
APARTAHOTEL;APARTAHOTEL BYE SAS;6580362;apartahotelbye@hotmail.com;CL 48 No. 90  92
HOTEL;HOTEL CALIMA ROYAL;3164455350;maver.5@hotmail.com;AV 2DN No. 24N 107
HOTEL;HOTEL PANCE 122;3174414474;gerencia@hotelpance122.com;CR 122 No. 22A  60
HOSTAL;ROSSA PALMA;3025632998;cali@rossapalma.com;CL 1 No. 4  93
HOTEL;IBIZA HOTEL RESTAURANTE;3829471;ibizahotelzonarosa@gmail.com;AV 6 No. 16 53
HOTEL;HOTEL DON CAMILO NAVARRETE;3451821;dicanamo07@hotmail.com;AV 2BN No. 31N 70
HOTEL;IN SITU RECOVERY HOTEL;3156251082;preciadoysanchez@gmail.com;CR 26 No. 5B  45
HOTEL;AMBAR HOTEL BOUTIQUE;4899910;directiva@ambarhotelboutique.com;CL 25 No. 85 20
HOTEL;SIX AVENUE;6028902273;hotelsixavenue2023@gmail.com;AV 6N No. 17N 73
HOSTAL;ELENA RECOVERY HOUSE;3007008575;admon2023recovery@gmail.com;CR 35 No. 4  09
HOSTAL;HOSPEDAJE CANEY  SEDE INGENIO;6023451182;rdloaiza65@gmail.com;CR 85A No. 14  62
HOSTAL;RECOVERY HOUSE CALI;3113482391;patizul@hotmail.com;CR 24F No. 3 OESTE  137 CS 102
HOSTAL;CASA ESMERALDA;3103850547;gloria-ci@hotmail.com;CL 13B No. 85C  09
HOTEL;ALOJAMIENTO J Y L;3132318636;narvipan@gmail.com;CL 19 No. 7 29
HOTEL;HOTEL BRETAÑA;6023821228;fido282010@hotmail.com;CL 10 No. 21 48 PI 2
APARTAHOTEL;ROYAL GARDEN APARTAHOTEL BOUTIQUE SIE7E PK2;3158108585;claravillamizarb@gmail.com;CR 111 No. 15  00 CS 15
HOTEL;HOTEL GRANADA CALI NORTE;3215803055;ariasdiegoalonso@hotmail.com;CL 15 No. 4N  52
HOSTAL;GROUP AVANZA  SAS;3780389;legalavanzagroup@gmail.com;AV 2D No. 24N  104
HOTEL;ON APARTASUITES;3188042812;onhotelcali@gmail.com;CR 3B No. 2A OESTE  02
APARTAHOTEL;APARTAHOTEL MANA;3008741347;miguelmgomez91@hotmail.com;AV 6 No. 42N  104
HOTEL;HOTEL 42  33;3137681388;carloschauzza@gmail.com;CR 98 No. 42  33
HOTEL;ALKO HOTEL CASA NISPERO;3146376946;contabilidad@alkohoteles.com;CR 10 No. 3 28
HOTEL;BEAUTY JOURNEY RECOVERY HOUSE;4034391;beautyjourneycali@gmail.com;CR 83A No. 17  52
APARTAHOTEL;APARTA HOTEL ECOSUITE CALI;3186879818;ecosuite.cali@gmail.com;CR 65A No. 9  127 
HOSTAL;ROOF HOSTEL CALI;3167314749;theroofhostelcali@gmail.com;AV 5N No. 5N 53
HOTEL;ARCO APARTA SUITES;3816191;mavira1966@hotmail.com;CL 22N No. 5B  80
HOSTAL;HOSTAL MADEROS CALI;3162090091;maderoshotel@gmail.com;CL 5B3 BIS No. 38  32
HOTEL;SUITE'S LOUNGE;3105272061;suiteslounge1@gmail.com;CR 146 No. 25  17
HOSTAL;CASABLANCA HOSTEL CALI S.A.S;3872448;yeliti42@hotmail.com;AV 7N No. 24N 57
CENTRO VACACIONAL;CENTRO VACACIONAL ECOVILLA SEMILLA;7427704;contabilidad@hotelparque63.com;KM 6 VIA CRISTO REY
HOSTAL;CASA SANTA MONICA PANCE;6023703440;administracion@casasantamonicacali.com;CL 10 No. 122A  00 CS 51
APARTAHOTEL;APARTA HOTEL SKY;3253434;csnoopyino@hotmail.com;DG 30 No. 31 35
HOTEL;HOTEL FARAON CALI;3105374419;hotelfaraoncali@hotmail.com;CL 19 No. 8  33
HOTEL;LAS CASADAS R;3106394064;astrid123.av@gmail.com;CL 9 No. 10  139 
HOTEL;HOTEL RESIDENCIA NOCHES DE PARIS;6028843571;mauriciof3000@yahoo.com;CL 24A No. 1N 22
HOTEL;DIAGONAL HOTEL CHIPICHAPE;6504001;gerencia@diagonalhotelchipichape.com;AV 5N No. 29A 28 
HOTEL;HOTEL FAMILIAR TONE;3006204614;hotelfamiliartone@gmail.com;CR 2N No. 46A  21
HOTEL;HOTEL BLUE 66;3120770;tyoconsultingsas@gmail.com;CR 66 No. 1C  87
HOTEL;HOTEL BELEN CALI;3113733656;caroceleda@gmail.com;CL 50N No. 3C  51
HOTEL;HOTEL CIUDAD CAPRI;3112319938;hotelciudadcapri@gmail.com;CL 10A No. 72  63
HOTEL;HOTEL GIRASOLES REY;3222890094;losgirasoleshotel31@gmail.com;CR 1 No.  46C 31
HOTEL;HOTEL TORRE DEL VIENTO CALI;3003068865;auxcontahoteltorredelviento@gmail.com;CL 4B No. 27  120
HOTEL;HOTEL EVEREST;3935262;stefaniatqa@hotmail.com;AV 4N No. 15  29
HOTEL;ECOHOTEL EL CASTILLO;3173708686;gustavovillegas05@gmail.com;ENTRADA NRO 2 ECOPARQUE DEPARTAMENTAL RIO PANCE CORREGIMIENTO DE PANCE VEREDA LA VORAGINE
HOTEL;HOTEL ASTORIA REAL;8830140;factu.ar19@yahoo.com;CL 11 No. 5 16
APARTAHOTEL;APARTAHOTEL LA ERMITA CALI;3104480431;apartahotellaermitacali@gmail.com;CL 15 No. 1  50
HOTEL;ERE CENTENARIO S.A.S.;3173736560;spanfelner@gmail.com;AV 3N No. 8  68 
HOTEL;NCH HOTELS;3849937;vichena@hotmail.com;CL 17N No. 4  65
APARTAHOTEL;APARTAHOTEL SAN VICENTE;3488836;hotel-san-vicente@hotmail.com;CL 24N No. 2C  16
HOTEL;M.G REPRESENTACIONES MUDEJAR;3175098364;magloria.pizo@hotmail.com;CL 8 No. 5  53
HOTEL;HOTEL SAVOY;8800433;hotelsavoycali@hotmail.com;CL 17 No. 1N  22/24
HOTEL;HOTEL CASA REAL NORTE TERMINAL;37987988;manuelarojas1217@hotmail.com;AV 2BIS No. 31N  120
HOTEL;HOTEL AVENIDA 3 REAL;6024043643;hotelavenida3real@gmail.com;AV 3N No. 32 49
HOTEL;HOTEL ESTANCIA CHIPICHAPE;3186228788;prosocc@hotmail.com;CL 40N No. 5  29
HOSTAL;THE PLACE HOTEL BOUTIQUE;3158340987;multiverseim1@gmail.com;CR 85A No. 13B  30
HOTEL;HOTEL PLAZA CALI;3105347312;hotelplazacali@hotmail.com;CR 6 No. 10 29
HOTEL;GRUPO EMPRESARIAL SANTELMO S.A.S.;3194518483;verogomezap31@gmail.com;CL 9 No. 65  14 LC 102
APARTAHOTEL;GRAN HOTEL CALI;3148597058;granhotelcali@gmail.com;CL 15N No. 6  37
HOTEL;HOTEL CALIMA 415;4891064;jairoga415@gmail.com;CR 4 No. 14 73
HOTEL;SUITE'S LOUNGE 2;3174428049;suiteslounge1@gmail.com;CR 180 No. 18  01
HOSTAL;HOME TOGO HOSTAL;3114310381;hometogorucinque12@gmail.com;CR 43 No. 3  08
HOSTAL;RUSSINKE INN HOSTAL;3114310381;hometogorucinque12@gmail.com;CR 43 No. 3  08
APARTAHOTEL;EDIFICIO ANABELLA;3122414161;edificioanabella@gmail.com;CL 10A No. 39  61
HOSTAL;LOS BALCONES  HOSTAL;3391370;losbalconeshostalcali@gmail.com;CR 69 No. 4 43
APARTAHOTEL;LIVING BOX;3154929276;box.reservas@gmail.com;CR 37A No. 5B 287
HOSTAL;OASIS CALI HOSTEL BOUTIQUE;3162784833;oasiscalihostel@gmail.com;CL 2 OESTE No. 25  28
HOTEL;HOTEL 25TH AVENUE;3152082162;gerenciacalihoteles@gmail.com;CL 25 No. 125 60
HOTEL;AW CHIPICHAPE URBAN;3144339955;hotelurbanchipichape@gmail.com;AV 6 No. 43N 47
HOTEL;HOTEL 14  4;3164470515;ocogroup@hotmail.com;AV 4 No. 14N  04
APARTAHOTEL;APARTASUITES HOTEL MONTECARLO;6675991;apartasuitesmontecarlo@gmail.com;CL 22N No. 5  15
HOTEL;HOTEL NEVADA;6679693;hotelnevadacolombia@hotmail.com;AV 8 No. 14N  19
APARTAHOTEL;CALI RIVER SUITES S.A.;3015393397;monica.q@yellowkeycapital.com;CL 4N No. 1  41
HOSTAL;DINGDONG HOSTAL;3218774127;dingdonghostel@gmail.com;CR 24C No. 2A  30 
HOSTAL;HOTEL RUTA 65;3170995497;hotelruta65calivalle@gmail.com;CR 66A No. 10  177
HOTEL;HOTEL ANGEL;3115385122;andrescosco@gmail.com;CR 8 No. 72  78
HOSTAL;LA PALMERA HOSTEL;3015762474;cortespototo@hotmail.com;CL 2A No. 24A  200
HOTEL;LA CLAVE HOSTEL SAS;3135679783;laclavehostel@gmail.com;CL 2A No. 24A  197
CAMPAMENTO;CARBONEROS SJ;3153027145;jhonboteroloango@yahoo.com;VE LA FONDA  SECTOR LA ESPERANZA  FINCA LOS ALPES CORREGIMIENTO VILLA CARMELO
HOTEL;HOTEL LAS DOS PALMAS CALI;3223817470;njohana.181@gmail.com;CR 4 No. 18  57
HOSTAL;HOSPEDAJE LA CASA DE LOS SUEÑOS;3172494180;info.casa.suenos@gmail.com;CR 5 No. 18  52
HOSTAL;RESERVA NATURAL ARI MUNANI;3147017616;arimunanireservanatural@gmail.com;CORREGIMIENTO PUEBLO PANCE VEREDA LA CASTELLANA
HOSTAL;LA VAINA HOSTEL CALI;5563167;info@lavaina.co;CR 5 No. 6  32
HOTEL;HOTEL BLACK AND WHITE CALI;3006408965;hotelblackandwhitecali@gmail.com;CL 14 No. 34  70 EL DORADO
HOSTAL;HOTEL CALIMA REAL;6611861;silvacontador2018@gmail.com;CL 18N No. 3  18 
HOTEL;ECO HOTEL COLOMBOHOLANDÉS;3146093012;ecoresortcolombia@hotmail.com;LOS ANDES CL TOBOGAN KM 6 CA 14 VIA CRISTO REY
HOTEL;ARISHA HOTEL SAS;6024885210;contabilidad@arishahotel.com;CL 9 No. 63A  22
HOTEL;HOTEL BOUTIQUE LUXURY S.A.S.;3160179878;hotelluxury266@gmail.com;CL 15 No. 83B 11
HOTEL;HOTEL ELITE CALI;6023301886;hotelelitecali022@gmail.com;DG 23 No. 15 107
HOTEL;HOTEL ORQUIDEA REAL CALI;3187884015;hotelorquideareal2022@gmail.com;CL 5B1 No. 37A 16
HOSTAL;TALLER DE DISENO JUAN CARLOS CASTANO ARQUITECTO;3154012986;tallerdediseno@hotmail.com;CR 24A No. 2A  58
