NOMBRE;CATEGORIA;SUBCATEGORIA;RESEÑA HISTORICA;DIRECCION;   NUMERO DE TELEFONO;HORARIO;PAGINA WEB O CORREO ELECTRONICO;PRECIO;ACCESIBILIDAD (discapacitados) ;RUTAS DEL MIO CERCANAS;PARQUEADEROS;RECOMENDACIONES;RESPONSABLE;;;;;;;;;;;;;;;;
MUSEO ARQUEÓLOGICO LA MERCED;CULTURAL;MUSEOS;Ubicado en la carrera 4ª # 6-59, esta edificación hace parte del complejo religioso, pero funciona de manera independiente, apoyada por el Fondo de Promoción de la Cultura del Banco Popular, entidad que apoya la adecuación del museo, se presenta una muestra de cerámica que representa el desarrollo cultural prehispánico de las sociedades que habitaron el sur occidente colombiano tales como: Tolima, Quimbaya, Calima, Tierradentro, San Agustín, Tumaco y Nariño. El museo además cuenta con Auditorio para conferencias, sala de exposiciones itinerantes, talleres artísticos, conferencias, videos y servicio de guías.;Carrera 4 # 6 - 59;8855309;Lunes-Sabado 9:00 am a 1:00 pm y 2:00 pm a 6:00 pm.;www.calicultural.net › Turismo › Museos;Adulto: $4.000, Niño: $2.000, Estudiante universitario con carné: $3.500, Adulto mayor: $3.500.;Si;E27 - T31 (A02-A06);Alrededores;N/A;N/A;;;;;;;;;;;;;;;;
MUSEO DE ARTE COLONIAL Y RELIGIOSO;CULTURAL;MUSEOS;Creado como consecuencia de la restauración del conjunto conventual de La Merced llevada a cabo entre 1976 y 1978, siendo inaugurado el 1º de mayo de ese último año. Se ubica en el centro histórico de la ciudad de Santiago de Cali, ubicado en uno de los patios del Convento de las Misioneras Agustinas Recoletas, congregación a la que pertenece. El Museo tiene por objeto servir de instrumento de evangelización cristiana, de fomento de la fe y de la espiritualidad, de diálogo interreligioso con aquellos que provienen de diversa extracción cultural y social, de formación cultural, de goce artístico y conocimiento histórico, especialmente en lo que tiene relación con el arte religioso colonial y republicano de la ciudad de Cali entre los siglos XVI y XX.;Carrera 4 # 6 - 117;8804737;Lunes-Viernes 9:00 am a 12:00 pm y 2:00 pm a 5:00 pm, Sabado 9:00 am a 12:00 pm ;www.calicultural.net › Turismo › Museos;Adultos: $4.000, Niños: $2.000, Estudiantes universitarios con carné: $3.000;No;E27 - T31 (A02-A06);Alrededores;N/A;N/A;;;;;;;;;;;;;;;;
MUSEO DE LA CINEMATOGRAFÍA CALIWOOD;CULTURAL;MUSEOS;El primer Museo de la Cinematografía en la historia de Colombia, fue fundado el 22 de octubre de 2008 y está ubicado en la Avenida Belalcázar (Cra 2ª.) No. 5A-55 Oeste de la Urbanización Arboleda, en Santiago de Cali. El nuevo ente cultural fue concebido para mostrar a los visitantes nacionales y extranjeros los principales artefactos, elementos, juegos ópticos, maquinaria, accesorios, equipos de filmación y proyección de películas y todos los objetos que fueron protagonistas en el desarrollo de la cultura cinematográfica y su ascendiente inmediata la fotografía.;Av Belalcazar # 5A - 55;8922544;"Lunes a viernes es de 8:00 am a 12:00 pm y de 2:00 pm a 6:00 pm; Sábados 8:00 am a 12:00 pm y 3:00 pm a 7:00 pm y domingos 10:00 am a 6 pm.";www.caliwood.om.co;"Adultos $ 15.000.00

Menores de 18 años $ 10.000";Si;E27 (A02-A05), T47B-T57A (A04).;Si;N/A;N/A;;;;;;;;;;;;;;;;
MUSEO DEL ORO CALIMA;CULTURAL;MUSEOS;Ubicado en la calle 7ª con carrera 5ª sector histórico de la ciudad, muestra una valiosa colección de piezas en oro, cerámica, conchas, piedra y etnográficos cronológicamente dispuestos y elaborados por la sociedad denominada complejo cultural calima, que habitó hacia el noreste de la ciudad de Cali. El museo fue inaugurado el 9 de mayo de 1991, ubicándose en un área del moderno edificio del Banco de la república, donde se encuentra también un auditorio para conferencias, salas de exposiciones itinerantes, sala de música y centro de documentación y divulgación de economía e historia, entre otros.;Calle 7 # 4 - 69;6847754;Martes -Sabado 8:00 am a 5:00 pm.;www.banrepcultural.org.cali;Entrada libre;Si;E27 - T31 (A02-A06);Alrededores;N/A;N/A;;;;;;;;;;;;;;;;
MUSEO DE ARTE MODERNO LA TERTULIA;CULTURAL;MUSEOS;Ubicado sobre la Avenida Colombia con calle 5ª Oeste en el antiguo sector denominado “Charco del Burro” lugar que fue balneario natural de los caleños. El actual edificio del complejo cultural inauguró en 1962, es una construcción de corte moderno, hace una semblanza estilizada de los antiguos templos griegos con una gran columnata que los precede, fue obra la firma de arquitectos Lago y Saenz. El conjunto consta actualmente de tres bloques, el primero es una gran sala de exposición con más de trescientas obras de artistas nacionales e internacionales con muestras de pintura, escultura, grabado y dibujo y un taller de artes para niños el segundo bloque lo conforman la cinemateca, la sala de exposiciones itinerantes, el teatro al aire libre y el sótano. El tercer bloque lo conforman un taller de artes gráficas, taller de restauración salón auditorio para conferencias, apartamentos para artistas y una pequeña tienda de arte.;AV Colombia # 5 - 05 O;8932945;Martes -Sabado 10:00 am a 7:00 pm y Domingo 2:00 pm a 6:00 pm;www.museolatertulia.com;Adulto: $10.000, Estudiantes y Adultos Mayores de 60 años: $5.000, Grupos de adultos de más de 5 personas: $7.000, Afiliados Comfandi ( Presentando Carné): $7.000.    Cinemateca  Aporte general: $8.000, Estudiantes: $5.000,  Entrada gratuita: El Museo tiene entrada libre permanente a las salas de exposiciones para las siguientes personas: Niños menores de 4 años, Personas con credencial Amigo del Museo.;Si;E27 - T31 (A02-A06) - E21 (A02-A06);Si;"La taquilla se cierra 15 minutos antes del cierre.La taquilla se cierra 15 minutos antes del cierre.
* La Casa Obeso Mejía abre sus puertas según la agenda expositiva, cultural y académica planteada para este espacio. • Por cuidado de las obras, no se puede entrar con bolsos y maletines. Tenemos servicio de maletero.

• Puedes traer cámara fotográfica o de video, pero no debes usarlas con flash o luces que puedan deteriorar las obras expuestas.

• Dentro de las salas de exposición del museo no está permitido el consumo de alimentos ni bebidas. Tampoco el ingreso de mascotas. Sin embargo tenemos unos jardines y una plazoleta donde podrás tomar un refrigerio o jugar con tu mascota.

• Por razones de preservación, debes abstenerte de tocar las obras expuestas.

• Por tu propio beneficio y el del resto de visitantes, procura no utilizar el teléfono móvil y utilizar un tono de voz bajo para contribuir al clima de tranquilidad y reflexión que requiere el disfrute de las obras de arte.";N/A;;;;;;;;;;;;;;;;
MUSEO DEPARTAMENTAL DE CIENCIAS NATURALES;CULTURAL;MUSEOS;Ubicado en La Manzana del Saber Calle Quinta (5ta) con Avenida Roosevelt, Conocido bajo el emblema de Gallito de Roca. Fue fundado en el año de 1963 mediante decreto 510 por el científico (Biólogo-Ornitólogo) e investigador Federico Carlos  Lehmann Valencia y en cuya memoria lleva su nombre, cuyos objetivos principales son: conservar los recursos naturales y sociales a través de su investigación y enseñanza, servir como centro de apoyo a la comunidad escolar en las aéreas de ciencias naturales y sociales con respecto al cuidado de la naturaleza y recuperación del medio ambiente, brindar un espacio de interés científico y natural al turismo nacional e internacional.;Av Rooseevelt # 24 -80;5576421 - 5146866;Lunes - Viernes 8:00 am a 4:30 pm y Sabado, Domingo y festivos  10:00 am a 4:00 pm;www.inciva.gov.co;Adulto: $5.000, Niños: $3.000;Si;E31 - T31 - T47B - T57A - E27 - E27B;Si;Teniendo en cuenta que el recorrido por el museo dura aproximadamente una hora se recomienda a los visitantes llegar por lo menos una hora antes del cierre. Los grupos escolares deben hacer contacto previo para reservar el servicio de guías. ;N/A;;;;;;;;;;;;;;;;
TEATRO JORGE ISAACS;CULTURAL;TEATROS;Fue inaugurado el 26 de diciembre de 1931 por iniciativa del señor  ingeniero Hermann S. Bohmer en homenaje al escritor Jorge Isaacs, se realizó en un estilo neoclásico francés y consta en su interior de una platea y tres palcos distribuidos en forma de herradura, el escenario es suntuoso, amplio, para presentaciones multitudinarias y dispone de una altísima tramoya , la suntuosa fachada de capiteles y guimaldas neoclásicas con el escudo de Cali en lo alto y la vera efigie de don Jorge Isaac definen un estilo y determinan una época de esplendor y el arte deco. El 26 de noviembre de 1984 fue declarado monumento nacional y fue adquirido por el municipio de Cali para su remodelacion en 1986.;Carrera 3 # 12 -28;8899323;Dependiendo de evento (función de teatro, concierto, Stand Up Comedy.;www.teatrojorgeisaac.com.co;Dependiendo de evento (función de teatro, concierto, Stand Up Comedy.;Si;T31 - E21 - P30A - E37 ;Si;N/A;N/A;;;;;;;;;;;;;;;;
TEATRO AL AIRE LIBRE LOS CRISTALES;CULTURAL;TEATROS;Diseñado por el arquitecto Sigifredo Rojas y calculada por el ingeniero Camilo Niño Vélez, se convirtió en la primera concha acústica de Colombia. Niño tuvo que asistir a una feria internacional de aluminio en Alemania, para construir en 1986, la máquina para curvar las 7 vigas que conforman la concha, fabricadas por Coin Ltda. Promover y divulgar las diferentes manifestaciones artísticas tanto nacionales como extranjeras, formar públicos, contribuir a la conservación y difusión del patrimonio cultural intangible, generar procesos para el desarrollo urbano y fortalecer espacios para el sano esparcimiento, la convivencia y construcción de relaciones sociales basadas en el respeto por la diversidad y el pluralismo, sin distingos de razas, religión, credo o cultural, mediante la realización de eventos artísticos, culturales y recreativos.;Carrera 14 con Calle 7 OE;5582009;Lunes - Viernes 8:00 am a 4:30 pm y Sabado, Domingo y festivos  10:00 am a 4:00 pm, Eventos (Depende de tipo de evento max. 9:00 pm);www.cali.gov.co;Entrada libre;Si;E37 (A03), T47B Y T57A (A03).;Si;N/A;N/A;;;;;;;;;;;;;;;;
SEBASTIAN DE BELALCAZAR;CULTURAL;MONUMENTOS;Ubicada en la carrera 3ª oeste con calle 9ª oeste, sobre la colina del mismo nombre se levanta imponente el monumento al fundador de la ciudad, hecha en bronce, la idea surgió en los años 30 cuando la ciudad iba a cumplir 400 años de fundada. Se le encomendó la obra al escultor español Victorio Macho, quien la realizó en España y posteriormente fue trasladada en barco hasta Buenaventura y de ahí hasta Cali a  lomo de mula, para ser posteriormente ensamblada y ubicada sobre un pedestal en el sitio que hoy ocupa, levantó la diestra señalando hacia el occidente por ser esta la salida al mar, colocó su mano izquierda sobre su férrea espada denominada“ Tizona” en el pedestal se encuentra grabado el escudo de armas de Cali, su inauguración se dio el 25 de Julio de 1937, un año después del cumpleaños número 400 de la ciudad.;Carrera 3 OE con Cll 9a OE;N/A;Espacio público;www.cali.gov.co;Espacio público - Entrada libre;No - Pero si se puede observar desde el mirador (balcon al ingreso de la estatua);E37 (A02- A06), T47B Y T57A (A02- A06), E21 (A02- A06).;No;N/A;N/A;;;;;;;;;;;;;;;;
CRISTO REY;CULTURAL;MONUMENTOS;Ubicado al sur occidente de  la ciudad sobre el cerro de Los  Cristales, a una altura de 1.474 Mts sobre el nivel del mar es un excelente mirador hacia la sultana del valle,  lugar celebre por la batalla librada entre el general Eliseo Payan y Julio Arboleda el 11 de abril de 1862, en la que se comunicaban por medio de espejos (cristales) por ello el nombre de cerro de los cristales. Aquí se levanta imponente el monumento a Cristo Redentor patrono de Cali, la obra fue realizada inicialmente por el escultor palmirano Gerardo Navia  iniciado en 1949 e inaugurado en 1952, mide 26 metros de altura, un pedestal de 5 metros y 21 metros de envergadura.;Cerro de los Cristales, Correguimiento de los Andes;438 4820 ext 112;Lunes a Domingo de 8:00 am a 7:00 pm;www.cali.gov.co;Entrada libre;Si;No - Transporte público, se toma en la Calle 10 con carrera 10 (Chiva o Jeep cada 45 minutos desde las 6:30 am hasta las 5:00 pm;Si, Motos: $1.000, Carros: $2.000;N/A;Corporación para la Recreación Popular;;;;;;;;;;;;;;;;
IGLESIA LA ERMITA;CULTURAL;IGLESIAS;Ubicada en la esquina de la carrera 1ª con calle 13. Su nombre inicial fue el de “Ermita de Nuestra Señora de la Soledad del Río”, en la antigüedad hacia el año de 1602 existió en el mismo lugar una pequeña capilla hecha en bahareque y techo de paja, destruida en el año de 1787 por un fuerte terremoto que azotó a la ciudad, en el año de 1942 se restauró en un estilo gótico similar al de la Catedral de la Colonia en Alemania. Aunque fue dedicada a Nuestra Señora de los Dolores, en su interior tiene un altar con la efigie del Señor de la Caña única pieza sobreviviente al terremoto de 1787, por lo que es muy visitado por los devotos quienes lo consideran milagroso.;Carrera 1 con Clle 13 Esquina;8818553;"6:30 am a 12:00 am; Misas 7:30 am y 5:00 pm Lunes a viernes, 10:00 am y 5:00 pm Sabado y domingo.";"arquicali@arquicali.org -  
www.arquicali.org";Entrada libre;Si;T31 - E21 - P30A - E37 ;No;N/A;N/A;;;;;;;;;;;;;;;;
CATEDRAL DE SAN PEDRO;CULTURAL;IGLESIAS;Ubicada en la esquina de la calle 11 con carrera 5ª, se inicia su construcción hacia el año de 1772 en un estilo barroco Y terminó en 1841 en un estilo neoclásico, ha sido restaurada en varias oportunidades debido a la destrucción dejada por diversos terremotos, siendo su fachada actual construida en el año 1930. Cuenta en su interior con valiosas pinturas de la escuela Quiteña, como también su hermoso altar central e imágenes como la del Señor Caído y el Sagrario del Altísimo que datan del siglo XVlll, cabe además destacar su hermosa puerta central repujada en bronce y traída desde Europa en los años 60, en su interior se encuentra además un Órgano Walcker traído desde Europa, además debajo del altar central se encuentran los restos de don Joaquín De Caicedo y Cuero.;Calle 11 # 5 -39;8811378;"7:00 am a 7:00 pm; Misas Lunes a Sabado 7:30 am, 8:30am, 9:00 am, 10:00 am, 11:00 am, 12:00 pm, 5:00 pm y 6:00 pm. Domingo 9:00 am, 10:00 am, 11:00 am, 12:00 pm y 6:00 pm.";"arquicali@arquicali.org -  
www.arquicali.org - catedraldesanpedro@hotmail.com
";Entrada libre;Si;T31 - E21 - P30A - E37 ;No;N/A;N/A;;;;;;;;;;;;;;;;
IGLESIA LA MERCED;CULTURAL;IGLESIAS;Ubicado entre carreras 3ª y 4ª con calle 7ª, construido en el sitio en donde el 25 de Julio de 1536 se oficiará la primer misa en la ciudad, con motivo de la fundación de la misma, misa realizada por Fray Santos de Añasco. Es de anotar que dichas construcciones se realizaron en piedra, ladrillos hechos de barro y pegados a base de cal, cascaras de huevo y sangre de animales y esclavos, (Argamasa). ;Carrera 4 # 6 - 63;8804737;"7:00 am a 7:00 pm; Misa: Lunes a Sabado 7:00 am y 6:00 pm, Domingo: 9:00 am y 6:00 pm";"arquicali@arquicali.org -  
www.arquicali.org";Entrada libre;Si;E27 - T31 (A02-A06);Alrededores;N/A;N/A;;;;;;;;;;;;;;;;
IGLESIA DE SAN FRANCISCO;CULTURAL;IGLESIAS;La iglesia de san francisco es de estilo neoclásico, fue construida entre los años 1803 y 1827 con mampostería en ladrillo, siendo dirigida la obra por Fray Fernando de Jesús Larrea. El altar mayor es de estilo renacentista español elaborado en madera y mármol, conformado por cuarenta estatuas y estatuillas. Fue inaugurado en 1911. Sobresalen también los frescos  (pinturas) sobre la vida de san Francisco por el artista Mauricio Ramelli.;Calle 9 # 5 - 59;8842498;"6:00 am a 12:00 pm y 3:00 pm a 7:00 pm lunes a viernes, 6:00 am a 12:00 pm y 5:00 pm a 7:00 pm sabado, 6:30 am a 12:00 pm y 4:00 pm a 7:00 pm ; Misa:  Capilla : 6:30 am, 10:00 am y 6: 00 pm lunes a viernes, sabado 6:30 am y 10:00 pm, Templo: 7:30 am, 8:15 am, 11:00 am y 6:30 pm lunes a sabado,  7:00 am a11:00 am cada hora  y 5:00 pm y 6:00 pm domingo.";"arquicali@arquicali.org -  
www.arquicali.org";Entrada libre;Si;T31 - E21 - P30A - E37 ;No resgistra;N/A;N/A;;;;;;;;;;;;;;;;
SANTUARIO DE FATIMA;CULTURAL;IGLESIAS;Al llegar a Cali desde Portugal la imagen de la Virgen de Fátima alrededor de los años 50, se produjo una gran conmoción en la ciudad. Posteriormente Monseñor. Julián Mendoza obsequia a las Madres Reparadoras un cuadro de la misma Virgen para que le dedicaran una capilla en su residencia modesta de la carrera sexta. Debido al éxito del culto mariano, en esta capilla, las Reparadoras concibieron la idea de un Santuario más adecuado en el Barrio Granada.  En la fachada exterior del Templo y   debajo de su pórtico se lograron esculpir solamente dos temas:  Los tres grandes sacerdotes recordados en el Canon Romano, Abel, Abraham y Melquiaedec, y la recogida del maná en el desierto por los israelitas. Todo el techo de este pórtico está adornado con estucos. Sobre la puerta principal está la fuente del Paraíso terrenal (Eucaristía), la cual difunde la vida por todo el mundo. En el extremo del pórtico, en el que debía situarse la entrada del convento de las Madres Reparadoras,  se estucaron unos ángeles que adoran el Santísimo Sacramento.;Av 10 N con Calle 16 Norte;6676207;"Lunes y Jueves 6:30 am a 8:00 pm, Martes, Miercoles y Viernes 6:30 am a 12:00 pm y 2:00 pm a 6:00 pm,  Sabado y domingo 7:00 am a 5:00 pm; Misas: Lunes y Jueves 7:00 am, 6:00 pm (coronilla), 7:00 pm , Martes, Miercoles y Viernes 7:00 am y 6:00 pm,  Sabado 7:00 am y 5:00 pm y domingo 7:00 am, 10:00 am, 12:00 pm y 5:00 pm.";www.santuario-fatima.pt/es/locations/santuario-nuestra-senora-fatima-cali;Entrada libre;Si;E27, E37, T31, E21, T47B (A01A),T57B (A01A).;No;N/A;N/A;;;;;;;;;;;;;;;;
IGLESIA DE SAN ANTONIO;CULTURAL;IGLESIAS;La Capilla de San Antonio, la blancura de su fachada se mantiene intacta y contrasta con el verde de la colina, consta de una planta rectangular y su portada de ladrillo con un arco de medio punto y pilastras laterales del mismo material, en un estilo mudéjar, en su interior sobresale su altar mayor de estilo barroco con auténticas imágenes de la época colonial, sobresale la imagen del patrono de la capilla San Antonio de Padua.;Carrera 10 Calle 1 OESTE;N/A;Lunes a Viernes 5:00pm a 7:00pm Sabado 5:30pm a 7:00pm Domingo 9am y 6:00pm este es horario de eucaristias y la iglesia solo esta abierta en estos horarios ;"arquicali@arquicali.org -  
www.arquicali.org";Gratuita;No;El mio pasa por la calle 5 E27 - T31 (A02-A06);si;N/A;N/A;;;;;;;;;;;;;;;;
IGLESIA LA MILAGROSA;CULTURAL;IGLESIAS;Ubicada en la calle 6  # 29-71, abierta al público desde 1980, cuando se celebró el primer martes de milagrosa en conmemoración a los 150 años de la aparición de la Virgen María, a Santa Catalina, en París – Francia.;Calle 6 # 29 - 71;5566669; Horario habitual es lunes a Domingo 9am a 12pm y 2pm a 6:30 miercoles a partir de las 12pm hasta las 6:30 horario de eucaristia lunes a viernes (excepto Martes) 6:00pm Martes 7:00am-11:30am-5:30pm Sabado 5:00pm y Domingo 10:00am y 3:00pm;disentinascali@gmail.com;Gratuita;si;El mio pasa por la calle 5                                     E21-E27-E27B-E37-T31-T47B-T57A;no;N/A;N/A;;;;;;;;;;;;;;;;
