"REGIÓN","OTROS TERRITORIOS","PAÍS","Localización","EXIGE VISA CORTA DURACIÓN","EXIGE VISA PARA PASAPORTE OFICIAL","EXIGE VISA PARA PASAPORTE DIPLOMATICO","CONDICIONES ESPECIALES","Identificador","FECHA"
"AMERICA CENTRAL","NO","BELICE",,"NO","NO","NO","(N/A)","20","12/07/2023"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","12/07/2023"
"AFRICA OCCIDENTAL","NO","BURKINA FASO",,"SI","SI","SI","(N/A)","30","10/01/2024"
"AMERICA CARIBE","NO","CUBA",,"NO (TARJETA TUR�STICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TUR�STICA","50","12/07/2023"
"AFRICA OCCIDENTAL","NO","BURKINA FASO",,"SI","SI","SI","(N/A)","30","12/07/2023"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","12/07/2023"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","12/07/2023"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","12/07/2023"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","12/07/2023"
"AMERICA CARIBE","SI","CURAZAO (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","51","12/07/2023"
"AMERICA CENTRAL","NO","HONDURAS",,"NO","NO","NO","(N/A)","84","12/07/2023"
"AMERICA CENTRAL","NO","GUATEMALA",,"NO","NO","NO","(N/A)","77","12/07/2023"
"AMERICA DEL SUR","NO","ARGENTINA",,"NO","NO","NO","(N/A)","9","12/07/2023"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","12/07/2023"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","12/07/2023"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","12/07/2023"
"EUROPA SCHENGEN","NO","ISLANDIA",,"NO","NO","NO","(N/A)","92","12/07/2023"
"AMERICA CARIBE","SI","BONAIRE (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","24","12/07/2023"
"AMERICA DEL SUR","NO","BRASIL",,"NO","NO","NO","(N/A)","27","12/07/2023"
"EUROPA SCHENGEN","NO","FINLANDIA",,"NO","NO","NO","(N/A)","68","12/07/2023"
"AMERICA DEL SUR","SI","GUYANA FRANCESA",,"NO","NO","NO","(N/A)","82","12/07/2023"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)",,"NO","NO","NO","NO EXIGE HASTA POR 90 D�AS","85","12/07/2023"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","12/07/2023"
"AMERICA DEL SUR","NO","ECUADOR",,"NO","NO","NO","(N/A)","55","12/07/2023"
"ASIA DEL ESTE","NO","COREA REP�BLICA POPULAR DEM.",,"SI","SI","SI","(N/A)","46","12/07/2023"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA",,"SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANAD�- REINO UNIDO O SCHENGEN","6","12/07/2023"
"SUDESTE ASIATICO","NO","CAMBOYA",,"SI","SI","SI","VISA A LA LLEGADA","34","12/07/2023"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","12/07/2023"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","12/07/2023"
"EUROPA SCHENGEN","NO","HUNGR�A",,"NO","NO","NO","(N/A)","86","12/07/2023"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","12/07/2023"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL",,"SI","SI","SI","(N/A)","47","12/07/2023"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","12/07/2023"
"ORIENTE MEDIO","NO","IR�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","89","12/07/2023"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","12/07/2023"
"ORIENTE MEDIO","NO","ISRAEL",,"NO","NO","NO","(N/A)","95","12/07/2023"
"ASIA DEL ESTE","NO","CHINA REP�BLICA POPULAR",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","40","12/07/2023"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL",,"SI","SI","SI","(N/A)","79","12/07/2023"
"EUROPA SCHENGEN","NO","AUSTRIA",,"NO","NO","NO","(N/A)","13","12/07/2023"
"AFRICA DEL SUR","NO","BOTSUANA",,"SI","SI","SI","(N/A)","26","12/07/2023"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","12/07/2023"
"AMERICA DEL SUR","NO","GUYANA",,"NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","12/07/2023"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA",,"NO","NO","NO","(N/A)","25","12/07/2023"
"EUROPA SCHENGEN","NO","ESTONIA",,"NO","NO","NO","(N/A)","64","12/07/2023"
"ASIA DEL ESTE","NO","JAP�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","12/07/2023"
"AFRICA CENTRAL","NO","CONGO",,"SI","SI","SI","(N/A)","43","12/07/2023"
"ORIENTE MEDIO","NO","ARABIA SAUDITA",,"SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","12/07/2023"
"AMERICA CARIBE","NO","BARBADOS",,"NO","NO","NO","(N/A)","18","12/07/2023"
"AFRICA DEL NORTE","NO","EGIPTO",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","56","12/07/2023"
"AMERICA CENTRAL","NO","BELICE",,"NO","NO","NO","(N/A)","20","12/07/2023"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","12/07/2023"
"AMERICA CARIBE","NO","CUBA",,"NO (TARJETA TUR�STICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TUR�STICA","50","12/07/2023"
"AFRICA OCCIDENTAL","NO","BURKINA FASO",,"SI","SI","SI","(N/A)","30","12/07/2023"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","12/07/2023"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","12/07/2023"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","12/07/2023"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","12/07/2023"
"ORIENTE MEDIO","NO","BAHR�IN",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTR�NICA","16","12/07/2023"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","12/07/2023"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","12/07/2023"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","12/07/2023"
"ASIA DEL SUR","NO","BUT�N",,"SI","SI","SI","(N/A)","32","12/07/2023"
"ASIA CENTRAL","NO","AFGANISTÁN","(33.93911, 67.709953)","SI","SI","SI","(N/A)","1","01/10/2023"
"EUROPA ORIENTAL","NO","ALBANIA","(41.153332, 20.168331)","NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR MÍNIMO 6 MESES","2","01/10/2023"
"EUROPA SCHENGEN","NO","ALEMANIA","(51.165691, 10.451526)","NO","NO","NO","(N/A)","3","01/10/2023"
"EUROPA OCCIDENTAL","NO","ANDORRA","(42.546245, 1.601554)","NO","NO","NO","(N/A)","4","01/10/2023"
"AFRICA DEL SUR","NO","ANGOLA","(-11.202692, 17.873887)","SI","SI","SI","(N/A)","5","01/10/2023"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA","(17.060816, -61.796428)","SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANADÁ- REINO UNIDO O SCHENGEN","6","01/10/2023"
"ORIENTE MEDIO","NO","ARABIA SAUDITA","(23.885942, 45.079162)","SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","01/10/2023"
"AFRICA DEL NORTE","NO","ARGELIA","(28.033886, 1.659626)","SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","8","01/10/2023"
"AMERICA DEL SUR","NO","ARGENTINA","(-38.416097, -63.616672)","NO","NO","NO","(N/A)","9","01/10/2023"
"EURASIA","NO","ARMENIA","(40.069099, 45.038189)","SI","SI","SI","(N/A)","10","01/10/2023"
"AMERICA CARIBE","SI","ARUBA (PAÍSES BAJOS)","(12.52111, -69.968338)","NO","NO","NO","(N/A)","11","01/10/2023"
"OCEANIA","NO","AUSTRALIA","(-25.274398, 133.775136)","SI","SI","SI","(N/A)","12","01/10/2023"
"EUROPA SCHENGEN","NO","AUSTRIA","(47.516231, 14.550072)","NO","NO","NO","(N/A)","13","01/10/2023"
"EURASIA","NO","AZERBAIYÁN","(40.143105, 47.576927)","SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTRÓNICA","14","01/10/2023"
"AMERICA CARIBE","NO","BAHAMAS","(25.03428, -77.39628)","NO","NO","NO","(N/A)","15","01/10/2023"
"ORIENTE MEDIO","NO","BAHRÉIN","(25.930414, 50.637772)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTRÓNICA","16","01/10/2023"
"ASIA DEL SUR","NO","BANGLADESH","(23.684994, 90.356331)","SI","SI","SI","(N/A)","17","01/10/2023"
"AMERICA CARIBE","NO","BARBADOS","(13.193887, -59.543198)","NO","NO","NO","(N/A)","18","01/10/2023"
"EUROPA SCHENGEN","NO","BÉLGICA","(50.503887, 4.469936)","NO","NO","NO","(N/A)","19","01/10/2023"
"AMERICA CENTRAL","NO","BELICE","(17.189877, -88.49765)","NO","NO","NO","(N/A)","20","01/10/2023"
"AFRICA OCCIDENTAL","NO","BENIN","(9.30769, 2.315834)","SI","SI","SI","(N/A)","21","01/10/2023"
"EURASIA","NO","BIELORRUSIA","(53.709807, 27.953389)","SI","SI","SI","(N/A)","22","01/10/2023"
"AMERICA DEL SUR","NO","BOLIVIA","(-16.290154, -63.588653)","NO","NO","NO","(N/A)","23","01/10/2023"
"AMERICA CARIBE","SI","BONAIRE (PAÍSES BAJOS)","(0.0, 0.0)","NO","NO","NO","(N/A)","24","01/10/2023"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA","(43.915886, 17.679076)","NO","NO","NO","(N/A)","25","01/10/2023"
"AFRICA DEL SUR","NO","BOTSUANA","(-22.328474, 24.684866)","SI","SI","SI","(N/A)","26","01/10/2023"
"AMERICA DEL SUR","NO","BRASIL","(-14.235004, -51.92528)","NO","NO","NO","(N/A)","27","01/10/2023"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM","(4.535277, 114.727669)","SI","SI","SI","(N/A)","28","01/10/2023"
"EUROPA SCHENGEN","NO","BULGARIA","(42.733883, 25.48583)","NO","NO","NO","(N/A)","29","01/10/2023"
"AFRICA OCCIDENTAL","NO","BURKINA FASO","(12.238333, -1.561593)","SI","SI","SI","(N/A)","30","01/10/2023"
"AFRICA CENTRAL","NO","BURUNDI","(-3.373056, 29.918886)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","01/10/2023"
"ASIA DEL SUR","NO","BUTÁN","(27.514162, 90.433601)","SI","SI","SI","(N/A)","32","01/10/2023"
"AFRICA OCCIDENTAL","NO","CABO VERDE","(16.002082, -24.013197)","SI","SI","SI","(N/A)","33","01/10/2023"
"SUDESTE ASIATICO","NO","CAMBOYA","(12.565679, 104.990963)","SI","SI","SI","VISA A LA LLEGADA","34","01/10/2023"
"AFRICA CENTRAL","NO","CAMERÚN","(7.369722, 12.354722)","SI","SI","SI","(N/A)","35","01/10/2023"
"AMERICA DEL NORTE","NO","CANADÁ","(56.130366, -106.346771)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","01/10/2023"
"AFRICA CENTRAL","NO","CHAD","(15.454166, 18.732207)","SI","SI","SI","(N/A)","37","01/10/2023"
"EUROPA SCHENGEN","NO","CHECA REPÚBLICA","(49.817492, 15.472962)","NO","NO","NO","(N/A)","38","01/10/2023"
"AMERICA DEL SUR","NO","CHILE","(-35.675147, -71.542969)","NO","NO","NO","(N/A)","39","01/10/2023"
"ASIA DEL ESTE","NO","CHINA REPÚBLICA POPULAR","(35.86166, 104.195397)","SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","40","01/10/2023"
"EUROPA SCHENGEN","NO","CHIPRE","(35.126413, 33.429859)","NO","NO","NO","(N/A)","41","01/10/2023"
"AFRICA DEL SUR","NO","COMORAS","(-11.875001, 43.872219)","SI","SI","SI","(N/A)","42","01/10/2023"
"AFRICA CENTRAL","NO","CONGO","(-0.228021, 15.827659)","SI","SI","SI","(N/A)","43","01/10/2023"
"AFRICA CENTRAL","NO","CONGO REPÚBLICA DEMOCRÁTICA","(-4.038333, 21.758664)","SI","SI","SI","(N/A)","44","01/10/2023"
"ASIA DEL ESTE","NO","COREA REPÚBLICA","(35.907757, 127.766922)","NO","NO","NO","(N/A)","45","01/10/2023"
"ASIA DEL ESTE","NO","COREA REPÚBLICA POPULAR DEM.","(40.339852, 127.510093)","SI","SI","SI","(N/A)","46","01/10/2023"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL","(7.539989, -5.54708)","SI","SI","SI","(N/A)","47","01/10/2023"
"AMERICA CENTRAL","NO","COSTA RICA","(9.748917, -83.753428)","SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR MÍNIMO 6 MESES","48","01/10/2023"
"EUROPA SCHENGEN","NO","CROACIA","(45.1, 15.2)","NO","NO","NO","(N/A)","49","01/10/2023"
"AMERICA CARIBE","NO","CUBA","(21.521757, -77.781167)","NO (TARJETA TURÍSTICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TURÍSTICA","50","01/10/2023"
"AMERICA CARIBE","SI","CURAZAO (PAÍSES BAJOS)","(0.0, 0.0)","NO","NO","NO","(N/A)","51","01/10/2023"
"EUROPA SCHENGEN","NO","DINAMARCA","(56.26392, 9.501785)","NO","NO","NO","(N/A)","52","01/10/2023"
"AFRICA ORIENTAL","NO","DJIBOUTI","(11.825138, 42.590275)","SI","SI","SI","(N/A)","53","01/10/2023"
"AMERICA CARIBE","NO","DOMINICA","(15.414999, -61.370976)","NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 DÍAS","54","01/10/2023"
"AMERICA DEL SUR","NO","ECUADOR","(-1.831239, -78.183406)","NO","NO","NO","(N/A)","55","01/10/2023"
"AFRICA DEL NORTE","NO","EGIPTO","(26.820553, 30.802498)","SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","56","01/10/2023"
"AMERICA CENTRAL","NO","EL SALVADOR","(13.794185, -88.89653)","NO","NO","NO","(N/A)","57","01/10/2023"
"ORIENTE MEDIO","NO","EMIRATOS ÁRABES UNIDOS","(23.424076, 53.847818)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","01/10/2023"
"AFRICA ORIENTAL","NO","ERITREA","(15.179384, 39.782334)","SI","SI","SI","(N/A)","59","01/10/2023"
"EUROPA SCHENGEN","NO","ESLOVAQUIA","(48.669026, 19.699024)","NO","NO","NO","(N/A)","60","01/10/2023"
"EUROPA SCHENGEN","NO","ESLOVENIA","(46.151241, 14.995463)","NO","NO","NO","(N/A)","61","01/10/2023"
"EUROPA SCHENGEN","NO","ESPAÑA","(40.463667, -3.74922)","NO","NO","NO","(N/A)","62","01/10/2023"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AMÉRICA","(37.09024, -95.712891)","SI","SI","SI","(N/A)","63","01/10/2023"
"EUROPA SCHENGEN","NO","ESTONIA","(58.595272, 25.013607)","NO","NO","NO","(N/A)","64","01/10/2023"
"AFRICA ORIENTAL","NO","ETIOPÍA","(9.145, 40.489673)","SI","SI","SI","(N/A)","65","01/10/2023"
"OCEANIA","NO","FIJI","(-16.578193, 179.414413)","SI","SI","SI","(N/A)","66","01/10/2023"
"ASIA DEL ESTE","NO","FILIPINAS","(12.879721, 121.774017)","NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 DÍAS","67","01/10/2023"
"EUROPA SCHENGEN","NO","FINLANDIA","(61.92411, 25.748151)","NO","NO","NO","(N/A)","68","01/10/2023"
"EUROPA SCHENGEN","NO","FRANCIA","(46.227638, 2.213749)","NO","NO","NO","(N/A)","69","01/10/2023"
"AFRICA CENTRAL","NO","GABÓN","(-0.803689, 11.609444)","SI","SI","SI","(N/A)","70","01/10/2023"
"AFRICA OCCIDENTAL","NO","GAMBIA","(13.443182, -15.310139)","SI","SI","SI","(N/A)","71","01/10/2023"
"EURASIA","NO","GEORGIA","(42.315407, 43.356892)","NO","NO","NO","(N/A)","72","01/10/2023"
"AFRICA OCCIDENTAL","NO","GHANA","(7.946527, -1.023194)","SI","SI","SI","(N/A)","73","01/10/2023"
"EUROPA SCHENGEN","NO","GRECIA","(39.074208, 21.824312)","NO","NO","NO","(N/A)","74","01/10/2023"
"AMERICA CARIBE","NO","GRENADA","(12.262776, -61.604171)","SI","SI","SI","(N/A)","75","01/10/2023"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)","(16.995971, -62.067641)","NO","NO","NO","(N/A)","76","01/10/2023"
"AMERICA CENTRAL","NO","GUATEMALA","(15.783471, -90.230759)","NO","NO","NO","(N/A)","77","01/10/2023"
"AFRICA OCCIDENTAL","NO","GUINEA","(9.945587, -9.696645)","SI","SI","SI","(N/A)","78","01/10/2023"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL","(1.650801, 10.267895)","SI","SI","SI","(N/A)","79","01/10/2023"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU","(11.803749, -15.180413)","SI","SI","SI","(N/A)","80","01/10/2023"
"AMERICA DEL SUR","NO","GUYANA","(4.860416, -58.93018)","NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","01/10/2023"
"AMERICA DEL SUR","SI","GUYANA FRANCESA","(3.933889, -53.125782)","NO","NO","NO","(N/A)","82","01/10/2023"
"AMERICA CARIBE","NO","HAITÍ","(18.971187, -72.285215)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR MÍNIMO 6 MESES","83","01/10/2023"
"AMERICA CENTRAL","NO","HONDURAS","(15.199999, -86.241905)","NO","NO","NO","(N/A)","84","01/10/2023"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)","(22.396428, 114.109497)","NO","NO","NO","NO EXIGE HASTA POR 90 DÍAS","85","01/10/2023"
"EUROPA SCHENGEN","NO","HUNGRÍA","(47.162494, 19.503304)","NO","NO","NO","(N/A)","86","01/10/2023"
"ASIA DEL SUR","NO","INDIA","(20.593684, 78.96288)","SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","01/10/2023"
"SUDESTE ASIATICO","NO","INDONESIA","(-0.789275, 113.921327)","SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","88","01/10/2023"
"ORIENTE MEDIO","NO","IRÁN","(32.427908, 53.688046)","SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","89","01/10/2023"
"ORIENTE MEDIO","NO","IRAQ","(33.223191, 43.679291)","SI","SI","SI","(N/A)","90","01/10/2023"
